score_threshold,equal_investment,technical_weight,sentiment_weight,min_market_cap,max_market_cap,total_operations,roi,avg_profit_per_op,win_rate
0.25,True,0.85,0.15,10000000,1000000000,53,-0.534528301886793,-0.534528301886793,50.9432075471698
0.3,False,0.8,0.2,10000000,100000000000000,35,-1.32342857142857,-0.523428571428572,51.4282857142857
0.15,False,0.2,0.8,50000000,10000000000,551,-1.3343557168784,-0.520580762250454,51.7234482758621
0.3,True,0.75,0.25,1000000000,100000000000000,21,-0.517142857142857,-0.517142857142857,52.3814285714286
0.3,False,0.9,0.1,100000000,1000000000000,34,-0.577352941176471,-0.509411764705882,52.9411764705882
0.15,True,0.95,0.05,10000000,1000000000,223,-0.506681614349776,-0.506681614349776,52.9141704035875
0.25,True,0.75,0.25,10000000,1000000000,49,-0.494489795918367,-0.494489795918367,51.0212244897959
0.35,True,1,0,100000000,1000000000000,13,-0.493846153846154,-0.493846153846154,53.8469230769231
0.3,False,0.8,0.2,1,100000000000000,37,-1.37702702702703,-0.493513513513514,51.3516216216216
0.3,False,0.8,0.2,1000000,100000000000000,37,-1.37702702702703,-0.493513513513514,51.3516216216216
0.3,True,0.7,0.3,1000000000,100000000000000,29,-0.49,-0.49,51.7227586206897
0.35,False,0.8,0.2,1000000000,100000000000000,6,-1.515,-0.48,33.3333333333333
0.25,True,0.2,0.8,50000000,10000000000,322,-0.478944099378882,-0.478944099378882,51.8654968944099
0.35,True,0.7,0.3,1000000000,100000000000000,8,-0.4775,-0.4775,50.00125
0.15,True,0.2,0.8,10000000,100000000000000,840,-0.473321428571428,-0.473321428571428,51.9065119047619
0.35,False,0,1,50000000,10000000000,275,-1.71258181818182,-0.459745454545455,50.9074909090909
0.15,True,0.2,0.8,50000000,10000000000,551,-0.450889292196007,-0.450889292196007,51.7234482758621
0.35,False,0.9,0.1,100000000,1000000000000,8,-1.47,-0.45,37.5025
0.3,True,0.4,0.6,10000000,100000000000000,183,-0.448743169398907,-0.448743169398907,57.3750819672131
-0.5,True,0.95,0.05,1,100000000000000,3222,-0.446452513966481,-0.446452513966481,48.7278739913098
-0.5,True,0.95,0.05,1000000,100000000000000,3222,-0.446452513966481,-0.446452513966481,48.7278739913098
0.2,False,0,1,50000000,10000000000,521,-1.18890595009597,-0.446353166986564,51.0540499040307
0.3,False,0.7,0.3,100000000,1000000000000,36,-0.89,-0.444166666666667,55.5547222222222
-1,True,0,1,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0,1,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.2,0.8,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.2,0.8,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.4,0.6,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.4,0.6,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.6,0.4,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.6,0.4,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.7,0.3,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.7,0.3,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.75,0.25,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.75,0.25,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.8,0.2,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.8,0.2,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.85,0.15,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.85,0.15,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.9,0.1,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.9,0.1,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.95,0.05,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,0.95,0.05,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,1,0,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-1,True,1,0,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.4,0.6,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.4,0.6,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.6,0.4,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.6,0.4,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.7,0.3,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.7,0.3,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.75,0.25,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.75,0.25,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.8,0.2,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.8,0.2,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.85,0.15,1,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.85,0.15,1000000,100000000000000,3225,-0.443522480620155,-0.443522480620155,48.7127007751938
-0.5,True,0.9,0.1,1,100000000000000,3224,-0.43919665012407,-0.43919665012407,48.7268703473945
-0.5,True,0.9,0.1,1000000,100000000000000,3224,-0.43919665012407,-0.43919665012407,48.7268703473945
0.25,True,0.4,0.6,50000000,10000000000,218,-0.438990825688073,-0.438990825688073,52.2931192660551
-0.5,True,1,0,1,100000000000000,3221,-0.438404222291214,-0.438404222291214,48.745752871779
-0.5,True,1,0,1000000,100000000000000,3221,-0.438404222291214,-0.438404222291214,48.745752871779
0.15,True,0,1,10000000,100000000000000,967,-0.435449844881075,-0.435449844881075,49.9476111685626
0,True,0,1,1,100000000000000,2790,-0.432795698924731,-0.432795698924731,48.6380286738351
0,True,0,1,1000000,100000000000000,2790,-0.432795698924731,-0.432795698924731,48.6380286738351
0.3,False,0.9,0.1,50000000,10000000000,24,-1.43375,-0.423333333333333,58.3308333333333
-0.5,True,0,1,1,100000000000000,3207,-0.422743997505457,-0.422743997505457,48.7393857187403
-0.5,True,0,1,1000000,100000000000000,3207,-0.422743997505457,-0.422743997505457,48.7393857187403
0.3,True,0.85,0.15,1,100000000000000,42,-0.42047619047619,-0.42047619047619,52.38
0.3,True,0.85,0.15,1000000,100000000000000,42,-0.42047619047619,-0.42047619047619,52.38
0.1,False,0.4,0.6,50000000,10000000000,672,-1.05755952380952,-0.403779761904762,52.8286607142857
-0.5,True,0.2,0.8,1,100000000000000,3217,-0.403531240285981,-0.403531240285981,48.80070562636
-0.5,True,0.2,0.8,1000000,100000000000000,3217,-0.403531240285981,-0.403531240285981,48.80070562636
0.35,False,0.2,0.8,1000000000,100000000000000,119,-0.572521008403361,-0.400336134453782,57.983781512605
0.35,False,0.8,0.2,100000000,1000000000000,8,-1.0725,-0.39,37.5025
0.3,True,0.75,0.25,100000000,1000000000000,27,-0.388148148148148,-0.388148148148148,55.5562962962963
0.3,True,0.7,0.3,100000000,1000000000000,36,-0.385833333333333,-0.385833333333333,55.5547222222222
0.3,False,0.95,0.05,1000000000,100000000000000,30,-0.466666666666667,-0.384,50.0023333333333
